2020-02-04 15:56:19 install libkeyutils1:amd64 <none> 1.5.9-9
2020-02-04 15:56:19 status half-installed libkeyutils1:amd64 1.5.9-9
2020-02-04 15:56:19 status unpacked libkeyutils1:amd64 1.5.9-9
2020-02-04 15:56:19 status unpacked libkeyutils1:amd64 1.5.9-9
2020-02-04 15:56:20 install libkrb5support0:amd64 <none> 1.15-1+deb9u1
2020-02-04 15:56:20 status half-installed libkrb5support0:amd64 1.15-1+deb9u1
2020-02-04 15:56:20 status unpacked libkrb5support0:amd64 1.15-1+deb9u1
2020-02-04 15:56:20 status unpacked libkrb5support0:amd64 1.15-1+deb9u1
2020-02-04 15:56:20 install libk5crypto3:amd64 <none> 1.15-1+deb9u1
2020-02-04 15:56:20 status half-installed libk5crypto3:amd64 1.15-1+deb9u1
2020-02-04 15:56:20 status unpacked libk5crypto3:amd64 1.15-1+deb9u1
2020-02-04 15:56:20 status unpacked libk5crypto3:amd64 1.15-1+deb9u1
2020-02-04 15:56:20 install libkrb5-3:amd64 <none> 1.15-1+deb9u1
2020-02-04 15:56:20 status half-installed libkrb5-3:amd64 1.15-1+deb9u1
2020-02-04 15:56:20 status unpacked libkrb5-3:amd64 1.15-1+deb9u1
2020-02-04 15:56:20 status unpacked libkrb5-3:amd64 1.15-1+deb9u1
2020-02-04 15:56:20 install libgssapi-krb5-2:amd64 <none> 1.15-1+deb9u1
2020-02-04 15:56:20 status half-installed libgssapi-krb5-2:amd64 1.15-1+deb9u1
2020-02-04 15:56:21 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2020-02-04 15:56:21 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2020-02-04 15:56:21 install libsasl2-modules-db:amd64 <none> 2.1.27~101-g0780600+dfsg-3+deb9u1
2020-02-04 15:56:21 status half-installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2020-02-04 15:56:21 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2020-02-04 15:56:21 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2020-02-04 15:56:21 install libsasl2-2:amd64 <none> 2.1.27~101-g0780600+dfsg-3+deb9u1
2020-02-04 15:56:21 status half-installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2020-02-04 15:56:21 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2020-02-04 15:56:21 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2020-02-04 15:56:21 install libldap-common:all <none> 2.4.44+dfsg-5+deb9u3
2020-02-04 15:56:21 status half-installed libldap-common:all 2.4.44+dfsg-5+deb9u3
2020-02-04 15:56:21 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u3
2020-02-04 15:56:21 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u3
2020-02-04 15:56:21 install libldap-2.4-2:amd64 <none> 2.4.44+dfsg-5+deb9u3
2020-02-04 15:56:21 status half-installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u3
2020-02-04 15:56:21 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u3
2020-02-04 15:56:21 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u3
2020-02-04 15:56:21 install libwrap0:amd64 <none> 7.6.q-26
2020-02-04 15:56:21 status half-installed libwrap0:amd64 7.6.q-26
2020-02-04 15:56:21 status unpacked libwrap0:amd64 7.6.q-26
2020-02-04 15:56:21 status unpacked libwrap0:amd64 7.6.q-26
2020-02-04 15:56:21 install libicu57:amd64 <none> 57.1-6+deb9u3
2020-02-04 15:56:21 status half-installed libicu57:amd64 57.1-6+deb9u3
2020-02-04 15:56:25 status unpacked libicu57:amd64 57.1-6+deb9u3
2020-02-04 15:56:25 status unpacked libicu57:amd64 57.1-6+deb9u3
2020-02-04 15:56:26 install libxml2:amd64 <none> 2.9.4+dfsg1-2.2+deb9u2
2020-02-04 15:56:26 status half-installed libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2020-02-04 15:56:26 status unpacked libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2020-02-04 15:56:26 status unpacked libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2020-02-04 15:56:26 install netcat-traditional:amd64 <none> 1.10-41+b1
2020-02-04 15:56:26 status half-installed netcat-traditional:amd64 1.10-41+b1
2020-02-04 15:56:26 status unpacked netcat-traditional:amd64 1.10-41+b1
2020-02-04 15:56:26 status unpacked netcat-traditional:amd64 1.10-41+b1
2020-02-04 15:56:26 install hicolor-icon-theme:all <none> 0.15-1
2020-02-04 15:56:26 status half-installed hicolor-icon-theme:all 0.15-1
2020-02-04 15:56:26 status unpacked hicolor-icon-theme:all 0.15-1
2020-02-04 15:56:26 status unpacked hicolor-icon-theme:all 0.15-1
2020-02-04 15:56:27 install libglib2.0-0:amd64 <none> 2.50.3-2+deb9u1
2020-02-04 15:56:27 status half-installed libglib2.0-0:amd64 2.50.3-2+deb9u1
2020-02-04 15:56:27 status unpacked libglib2.0-0:amd64 2.50.3-2+deb9u1
2020-02-04 15:56:27 status unpacked libglib2.0-0:amd64 2.50.3-2+deb9u1
2020-02-04 15:56:27 install libjpeg62-turbo:amd64 <none> 1:1.5.1-2
